"Country","Budget Bal %GDP","CA Bal %GDP","CPI","Real GDP","IP","PMI","PPI","FX Reserve","Retail Sales","Unemployment","Total_Score"
"SINGAPORE",0.46,18.04,0.7,4.4,16.1,NA,NA,393134.9,4.2,2,0.552316927212935
"UNITED STATES",-5.82,-4.36,3,2.1,0.87,52.2,-0.1,49.21,5,8.1,0.499181870885589
"HONG KONG",-5.82,13.46,1.1,3.8,0.9,50.4,4,419.2,5.9,3.9,0.49731750956028
"CANADA",-1.97,-0.92,2.4,1.215,-2.14,NA,5.49,97141,4.9,7.1,0.473511534662387
"NORWAY",13.23,17.1,3.6,-1.3,1.7,47.74,-2.8,81027.4,3.7,4.8,0.466996556599457
"AUSTRALIA",-1.46,-2.08,3.2,1.8,0.1,NA,2.5,42175,4.9,4.5,0.439480247814462
"JAPAN",-2.02,4.89,2.9,1.7,3.4,NA,-5.5,1148726,0.5,2.6,0.408844409369617
"EUROZONE",-2.84,2.1,2.1,1.3,1.1,50,-0.3,322760,1,6.3,0.401310388302778
"BRITAIN",-5.44,-2.61,3.8,1.4,-0.7,49.7,-1.3,122087,1.5,4.8,0.354022804227413
"NEW ZEALAND",-0.77,-3.7,3,0,NA,NA,4.22,24006,-1.707,5.2,0.34142585447277
"SWITZERLAND",0.51,6.96,0.1,1.3,-0.1,48.2,-1.36,726837.47,1.5,3,0.318186368373746
"GERMANY",-2.7,4.92,2.1,0.3,-3.9,49.6,-1.7,36532,0.2,6.3,0.314948567255125
